Graph Name,Correct Max Clique,Graph Complexity,Found Max Clique,Is Clique,Consumed Time
johnson8-2-4,4,E,4,True,0.272
johnson16-2-4,8,E,8,True,7.882
MANN_a9,16,E,16,True,2.571
keller4,11,E,11,True,248.607
hamming8-4,16,E,16,True,139.144
